Annex 19,,,,,,,,,,,,,,,,,,
Monetary Statistics (B),,,,,,,,,,,,,,,,,,
(Rs. In Million),,,,,,,,,,,,,,,,,,
"Fiscal 
Year",Mid-Month,"Net Foreign
 Assets",% Change (Y on Y),"Net Domestic
 Assets","% Change 
(Y on Y)","Domestic
 Credit",% Change (Y on Y),Claims on Government,% Change (Y on Y),General Government Deposits,% Change (Y on Y),"Claims on
 Private Sector",% Change (Y on Y),,,,,
,October,1172723.8629622883,-8.883914634773433,4415750.719194333,9.992232488786371,5758742.343838881,10.530446268757334,943146.8574216703,24.305727606861595,193727.21999999997,-20.221741739841214,4766108.911535198,6.800756392990684,,,,,
,November,1177308.5969222537,-2.512905462187967,4425937.141363799,9.207147871100796,5795951.664241477,10.580119392382937,937194.8074260904,23.51110418115166,180945.4,-35.312024422088214,4801980.880155353,6.0407531911893395,,,,,
,December,1222065.4086283073,4.729662335087107,4430830.646984392,8.519784713155804,5846095.459745332,10.0987287368506,950182.3924260903,24.228505322986845,180535.99999999994,-38.85394082605079,4832111.352689861,5.025157058080833,,,,,
,January,1265463.0644355754,13.05737073401163,4473628.940252159,6.327298279256071,5835972.357924402,8.883333330141419,950450.0474260903,24.240501732458792,191035.83000000002,-32.22848764483886,4844097.180429447,4.479696821592602,,,,,
,February,1309585.5117499575,16.70961407472646,4488196.597602283,6.709220252763594,5898701.913118385,8.784792543727905,974489.3074260902,20.08095488496583,196812.8299999999,-35.0462352869347,4888943.014878303,4.599957393426958,,,,,
,March,1322244.3874475705,17.107028962650947,4505064.635796164,6.901358790348509,5928497.473058827,8.134380584201516,983836.3124260902,15.895661568566618,189246.56,-42.33053545774971,4902533.04054316,3.9700334276538527,,,,,
,April,1352805.2686477609,21.13486053507597,4548750.546800035,6.906705599233402,5956037.985341199,8.614608568238182,1005263.8,16.321852273537665,189987.56999999995,-42.71752858808467,4892191.542623619,3.96233105680391,,,,,
,May,1387471.8112565791,26.716475346957715,4537912.909125359,5.830944106962407,5998146.125982867,8.432499460717946,1023831.4024260902,15.91024877923699,179037.89999999985,-44.936185037634466,4910138.80148153,3.805024896242825,,,,,
,June,1394178.2283151203,24.460206876760136,4591660.524166307,7.613220491807832,6065333.536758658,8.858141477136984,1052502.3974260902,13.852756210407252,168282.11999999994,-52.18070681062793,4930359.301692963,3.593115762369726,,,,,
,July,1457557.2148803605,26.597084371154224,4721498.098211298,7.476852146894846,6182656.646106428,8.946369290906066,1077292.77742609,10.87961688681363,58227.64999999991,-74.05382540162164,4903348.808411826,4.571335264750347,,,,,
2023/24,August,1490745.3493656619,31.469077233902986,4549815.726688677,5.6739950444388985,6035799.236207421,7.368046166705035,1074373.9474260898,12.119367538295494,202312.45999999985,-30.797969984450557,4915614.609657494,4.2717300409289205,,,,,
,September,1516215.1363177672,35.29650745218006,4639888.130044543,6.293363399231593,6157229.367753512,7.89484464327479,1089858.799,13.776028483094851,176858.9399999999,-33.13020967695532,4985049.30305285,4.501168023422883,,,,,
,October,1562065.8950898156,33.199804696056354,4804613.216017395,8.806260170728372,6286430.817375778,9.163258955342164,1138912.5999999999,20.756655343527786,157753.3099999999,-18.569362632674988,5034420.657343414,5.629576469787189,,,,,
,November,1613926.1198526297,37.08607276561058,4792662.8210585145,8.285831180641527,6318926.530807558,9.023106072340301,1140412.5999999999,21.683623400776877,138648.95999999988,-23.375250213600413,5052884.211910639,5.22499647577041,,,,,
,December,1687754.9043181892,38.1067570035052,4788507.697708338,8.072460430582682,6355522.095142575,8.713963685762925,1160762,22.16201955039801,174104.87999999995,-3.562236894580581,5090466.222504345,5.346624921436603,,,,,
,January,1740149.7230344592,37.510905844620964,4837880.823667707,8.1422015164945,6346236.693523966,8.743433044310075,1163611.0000000002,22.427370396915666,229575.0299999999,20.17380718580378,5125546.547782757,5.8101511359100835,,,,,`
,February,1763988.1251853378,34.69820102302267,4848235.218930663,8.021899520193086,6379284.954571063,8.147267797748652,1153512.5,18.370975567373037,208129.5599999999,5.749996074951016,5151739.259285392,5.3753182151506635,,,,,
,March,1796495.5527782943,35.86713393022656,4857287.784778766,7.8183816983206285,6432702.573835352,8.50477044255834,1166992.5000000002,18.616530540762025,197828.42999999985,4.534756140349314,5179694.805119205,5.653440013233192,,,,,
,April,1841789.907723641,36.14597388171471,4794454.588340954,5.401572124322519,6291895.787979029,5.638946619622513,1150437.5,14.441353602905025,306590.9199999999,61.374199375253866,5158138.513296904,5.436152046709552,,,,,
,May,1876220.9117293993,35.22587605078471,4797223.644295793,5.714317140132467,6356725.883544592,5.978176423685711,1169768.7000000002,14.2540360872009,272606.31999999983,52.26179484902362,5183137.970306499,5.559907364382391,,,,,
,June,1908629.791959655,36.89998546787343,4831010.942119252,5.212720249966706,6396731.606413762,5.463806197081871,1162702.2,10.470266181189226,271093.9799999998,61.09493985457273,5227616.666515217,6.029121746161254,,,,,
,July,1989278.5277688396,36.48030468101548,4984785.326930098,5.57634935442513,6560209.116360633,6.106638163255783,1151402.4,6.8792462111344905,93955.47054199979,61.35885707563321,5202494.718445175,6.100849067073428,,,,,
2024/25,August,2040582.9285625708,36.88340060432685,4884432.498449237,7.354512618999875,6503687.675403244,7.751888704134887,1176506.5,9.5062387559371,197823.4399999997,-2.218854933601291,5236398.704963552,6.525818657057185,,,,,
,September,2107785.5973474453,39.01626140379707,4894422.989613238,5.485797338959788,6544495.898429241,6.28962326308504,1205992.4000000001,10.655839188210289,264210.1205419998,49.390311025272446,5321609.948519375,6.7514005380130335,,,,,
,October,2194759.6945489263,40.503656180441226,5018180.706265133,4.445050634580871,6667783.330254642,6.066280278227204,1199929.8999999997,5.357505044724224,177834.77054199975,12.729660342467522,5347486.038970559,6.218498670159697,,,,,
,November,2212295.13600516,37.075366015339554,4972553.563653182,3.753461265921828,6640324.265218806,5.086271107035223,1203887.6999999997,5.565976735086921,216311.5,56.013791953434186,5365843.088613155,6.193668082969542,,,,,
,December,2243401.602107653,32.92223867149306,4959600.073923999,3.572979036820646,6663031.043770342,4.8384529866207435,1165130.9999999998,0.3763906812938197,222002.83,27.510974993923238,5435449.531448605,6.777047403224673,,,,,
,January,2281148.9249022864,31.08923299567793,4966169.744385466,2.651758598313307,6639959.643059703,4.6283012077924415,1165130.9999999998,0.1306278472788186,307664.82054199965,34.014932086472896,5480951.75973811,6.933996377597941,,,,,
,February,2341825.540103621,32.757443582993,4936882.746650582,1.828449398943805,6643957.56583566,4.14893852758446,1200353.4,4.060718891212701,360036.3505419996,72.98664857697281,5512540.695458665,7.003487909893169,,,,,
,March,2382348.528932308,32.61087817601259,4928852.803431824,1.4733534808730109,6684601.154974076,3.915905923636304,1222716.2,4.774983558163374,392356.51054199977,98.33171124190798,5556024.5987546565,7.265481998350874,,,,,
,April,2405590.5131385014,30.61155906276462,4998704.90510916,4.260136643381648,6722693.840406587,6.846872023065269,1205122.8,4.753435106209598,371787.50054199976,21.265006981289545,5575285.743325154,8.08716611531287,,,,,
,May,2490810.082128116,32.75675942830322,4946114.48192745,3.1036876466807537,6698934.166460833,5.3834047461776136,1163805.4,-0.5097845411661535,360978.34966251964,32.41745446786409,5598053.771214721,8.005108165848927,,,,,
,June,2553891.579883929,33.80759278947237,4991564.8673089,3.3234022260197276,6781218.255568608,6.0106734628249106,1164163.2999999998,0.12566416404818537,339980.1896625197,25.41045347540361,5655887.167531304,8.192461848997363,,,,,
,July,2664942.904908985,33.96529785589982,5180662.621424076,3.929503110911494,6963109.013420143,6.141570945577186,1152138.8999999997,0.06396547375615746,130730.83966251995,39.14127501929854,5624689.864515061,8.115244107274425,,,,,
