Annex 4,,,,,,,,,,,,,,,,,,,,,,,,,
National Salary and Wage Index (Quarterly Series-NSIC),,,,,,,,,,,,,,,,,,,,,,,,,
(2023/24 =100),,,,,,,,,,,,,,,,,,,,,,,,,
English Year and Month,Nepali Year and Month,"Agriculture, forestry & fishing",% Growth,Manufacturing,% Growth,Construction,% Growth,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,% Growth,Transportation and Storage,% Growth,Accommodation and Food Service Activities,% Growth,Information and communication,% Growth,Financial and insurance activities,% Growth,Public Administartion and Defence,% Growth,Education,% Growth,Human Health and Social Work Activities,% Growth,Overall Index,% Growth
2016 January,2072 Poush,58.82521374211303,5.623015764449563,49.69704690407049,4.046305517750988,59.79142256176696,9.319661456446356,-,-,-,-,-,-,49.0382295082049,0,39.620591519229585,2.2736940775291035,50.92803963703868,0.028245812845675334,52.45989163314221,1.4882207298100116,-,-,54.81691515768979,4.68026018125772
2016 April,2072 Chaitra,59.81726131445321,6.376145922463398,49.93526491761252,4.318256182252888,61.882480905005984,11.735001117825368,-,-,-,-,-,-,49.194581140437094,0,39.676022373521896,2.2736940775291106,50.92803963703868,0.028245812845675334,52.63383044649327,1.4882207298100156,-,-,55.52092281169146,5.307922552278062
2016 July,2073 Asadh,60.65485536492569,7.389780063598843,50.46472316187064,5.229776630837451,62.68589410498399,12.379519093880205,-,-,-,-,-,-,49.2212130800947,0,39.684133911229836,2.2736940775291123,50.92803963703868,0.028245812845675334,53.084170394945815,1.4882207298100185,-,-,56.14590304875134,6.10767466782468
2016 October,2073 Asojh,66.21638690215514,13.549887162118083,55.34922702830742,11.448650048207808,67.74736466263658,15.735591439781457,-,-,-,-,-,-,56.303178638025464,14.87742334891074,40.68243837416106,3.3843284012431853,62.96373659961838,23.632751325905033,62.55937725320148,20.722493072293762,-,-,62.26942998320071,14.395340897966797
2017 January,2073 Poush,66.79596382704413,13.549887162118099,55.085781809893845,10.843169245498942,68.13549126887214,13.955293835809687,-,-,-,-,-,-,56.333854514951014,14.877423348910746,40.96148245075542,3.3843284012431814,62.96373659961838,23.632751325905033,63.330889042552926,20.722493072293766,-,-,62.539423920260454,14.087820776407442
2017 April,2073 Chaitra,67.10855937229938,12.189287669852625,58.04957370522457,16.24965603166365,68.69029481053383,11.001197440642892,-,-,-,-,-,-,56.51346724142332,14.877423348910737,44.785990082869105,12.87923386381944,63.03299378644129,23.768741612035228,63.54087231445069,20.722493072293773,-,-,63.68186545599055,14.698859873021727
2017 July,2074 Asadh,66.86137061871253,10.232511835113241,58.156899063148195,15.242679280344284,69.79199878976328,11.336050615914099,-,-,-,-,-,-,56.54406132748982,14.877423348910751,44.7951463244884,12.879233863819431,63.03299378644129,23.768741612035228,64.08453392752308,20.722493072293773,-,-,63.70334839201218,13.460368313425697
2017 October,2074 Asojh,67.50673821127751,1.9486887906298231,61.42591085866605,10.978805227489115,69.89053394832379,3.1634725518248668,-,-,-,-,-,-,56.303178638025464,0,44.983612905724314,10.572558340787882,63.03299378644129,0.10999535695174936,66.17403677502807,5.777965958958788,-,-,65.17833853906657,4.671487368120506
2018 January,2074 Poush,69.98632741550942,4.776281987226277,61.28079885734717,11.246127120121315,70.21763083793606,3.05588105448231,-,-,-,-,-,-,56.333854514951014,0,45.29215908011312,10.572558340787875,63.03299378644129,0.10999535695174936,66.9901262529376,5.777965958958796,-,-,66.35721234790248,6.104610801196076
2018 April,2074 Chaitra,72.77697863412737,8.446641255374294,61.403196775061524,5.777170883057018,74.1565592662331,7.9578410178274686,-,-,-,-,-,-,56.51346724142332,0,45.35552469315137,1.2716802938339222,63.03299378644129,0,67.21224228680512,5.777965958958794,-,-,67.9871221506061,6.760569376835923
2018 July,2075 Asadh,72.46078248938643,8.374659117602345,61.51672250231325,5.777170883057014,75.60211989608018,8.324910028467471,-,-,-,-,-,-,56.54406132748982,0,45.36479737289099,1.271680293833925,63.03299378644129,0,67.78731648281276,5.777965958958778,-,-,68.01157626508484,6.76295356809356
2018 October,2075 Asojh,75.52164584954987,11.872752040230276,63.2954897582265,3.0436323587649152,76.72218017288179,9.77478041534099,-,-,-,-,-,-,59.86961805836783,6.3343482670331825,45.50129848411803,1.150831480518631,67.92791109423857,7.765643060492233,72.96351266091938,10.260029789286534,-,-,70.86179483720042,8.719854518426086
2019 January,2075 Poush,77.81646046295344,11.188089640647172,64.8064712506496,5.75330684169062,78.2558840643403,11.447628082121874,-,-,-,-,-,-,59.902237052171806,6.33434826703318,45.81339550501364,1.1508314805186208,67.92791109423857,7.765643060492233,73.86333316236966,10.260029789286532,-,-,72.53044046167165,9.30302509002897
2019 April,2075 Chaitra,81.01536052758446,11.32003835288905,65.94450622139871,7.3958843917742225,80.65899865565699,8.768528979451645,-,-,-,-,-,-,60.09322707427078,6.334348267033173,45.877490349474556,1.150831480518636,67.92791109423857,7.765643060492233,74.10823836747878,10.260029789286547,-,-,74.53801681640994,9.635493397252787
