Annex 5,,,,,,,,,,,,,,,,,,,,,,,
National Salary and Wage Index (Quarterly Series-NSCO),,,,,,,,,,,,,,,,,,,,,,,
(2023/24 =100),,,,,,,,,,,,,,,,,,,,,,,
English Year and Month,Nepali Year and Month,Others,% Growth,Managers,% Growth,Professionals,% Growth,Technicians And Associate Professionals,% Growth,Clerical Support Workers,% Growth,Service And Sales Workers,% Growth,"Skilled Agricultural, Forestry & Fishery Workers",% Growth,Craft And Related Trades Workers,% Growth,Plant And Machine Operators & Assemblers,% Growth,Elementary Occupations,% Growth,Overall Index,% Growth
2016 January,2072 Poush,54.301987802753395,0,-,-,51.08820787115718,1.182529020961729,58.736765319275484,4.5107718198727875,49.842947188929344,2.3514046119938183,-,-,-,-,52.97002766090639,6.68607382918239,-,-,56.50955895342329,5.0702436202873225,54.81691515768979,4.68026018125772
2016 April,2072 Chaitra,54.301987802753395,0,-,-,51.24344073101288,1.1825290209617325,59.02026315362874,4.510771819872778,49.93117415062511,2.351404611993818,-,-,-,-,53.95398749101254,7.914652300448341,-,-,57.47441675422842,5.757814548399927,55.52092281169146,5.307922552278062
2016 July,2073 Asadh,54.301987802753395,0,-,-,51.62597884994299,1.18252902096173,59.02557447280459,4.510771819872783,50.15287783422132,2.351404611993818,-,-,-,-,54.64904844571395,9.129584508703365,-,-,58.30142437299859,6.715347169372002,56.14590304875134,6.10767466782468
2016 October,2073 Asojh,67.16394510754948,23.685978773955522,-,-,60.77586512092365,20.126268044476035,63.65250371400854,8.608756080172018,58.174184505007396,17.961202963049754,-,-,-,-,60.32751354228382,14.502727983483027,-,-,63.540934304441535,13.150160331624654,62.26942998320071,14.395340897966797
2017 January,2073 Poush,67.16394510754948,23.685978773955522,-,-,61.37035752642539,20.12626804447605,63.79327017499498,8.608756080172014,58.795340096298645,17.961202963049754,-,-,-,-,59.94109350577897,13.160396837054058,-,-,63.8578680968213,13.00365686707038,62.539423920260454,14.087820776407442
2017 April,2073 Chaitra,67.16394510754948,23.685978773955522,-,-,61.55683296774875,20.12626804447604,64.29943627593444,8.944679064822369,59.17805906982264,18.51926191701975,-,-,-,-,60.45960988137795,12.05772305790947,-,-,65.60427195879878,14.145172171707573,63.68186545599055,14.698859873021727
2017 July,2074 Asadh,67.16394510754948,23.685978773955522,-,-,62.01636173386703,20.12626804447605,64.30522267556468,8.944679064822363,59.44082063926372,18.51926191701977,-,-,-,-,60.619666391217315,10.925383177411263,-,-,65.59315966005066,12.50695907599322,63.70334839201218,13.460368313425697
2017 October,2074 Asojh,67.16394510754948,0,-,-,65.94239093064938,8.50094984159596,71.14194849572034,11.766143269653568,64.8770143269243,11.522000486899731,-,-,-,-,61.066602946503515,1.2251282388783793,-,-,65.95982465341868,3.8068221304200462,65.17833853906657,4.671487368120506
2018 January,2074 Poush,67.16394510754948,0,-,-,66.58742083735493,8.50094984159597,71.29927774018206,11.76614326965356,65.56973946846851,11.522000486899705,-,-,-,-,60.82349421260688,1.472113128438065,-,-,67.70887109804644,6.0305849787942405,66.35721234790248,6.104610801196076
2018 April,2074 Chaitra,67.16394510754948,0,-,-,66.78974846241208,8.500949841595967,71.64340957516515,11.42152050558391,65.68580441283383,10.996888788347851,-,-,-,-,61.92113571208121,2.4173590163264036,-,-,70.162343713404,6.947827661997091,67.9871221506061,6.760569376835923
2018 July,2075 Asadh,67.16394510754948,0,-,-,67.28834153844578,8.500949841595963,71.64985686961569,11.421520505583906,65.97746157984486,10.996888788347833,-,-,-,-,62.37815334777403,2.9008522501725427,-,-,70.07525554041662,6.8331757512449425,68.01157626508484,6.76295356809356
2018 October,2075 Asojh,70.06964320112866,4.3262766785457405,-,-,73.06479383552607,10.800947318345216,71.73795708105173,0.8377737719219817,68.87980546822651,6.169814044048929,-,-,-,-,64.28007006649248,5.2622333074660785,-,-,72.7627382244928,10.31372294699016,70.86179483720042,8.719854518426086
2019 January,2075 Poush,70.06964320112866,4.3262766785457405,-,-,73.77949308264245,10.8009473183452,71.89660438865913,0.837773771921998,69.61527046284039,6.169814044048944,-,-,-,-,66.0913314482956,8.66085926808996,-,-,74.74651040896617,10.393969352596075,72.53044046167165,9.30302509002897
2019 April,2075 Chaitra,70.06964320112866,4.3262766785457405,-,-,74.00367400789249,10.800947318345209,72.24361926989653,0.8377737719219825,69.73849639844336,6.169814044048921,-,-,-,-,68.14305976587674,10.048142661216719,-,-,77.57238420445633,10.561278456319148,74.53801681640994,9.635493397252787
2019 July,2076 Asadh,70.06964320112866,4.3262766785457405,-,-,74.5561198594015,10.800947318345214,72.25012057808898,0.8377737719219983,70.0481482703051,6.1698140440489215,-,-,-,-,68.2186741034894,9.363086981996709,-,-,76.98806864938571,9.864841812788045,74.19774461370659,9.095757940545699
